"","x"
"1",0.0246812701225281
"2",0.961558103561401
"3",0.0246812701225281
"4",0.0246812701225281
"5",0.163034111261368
"6",0.0246812701225281
"7",0.97041118144989
"8",0.792242109775543
"9",0.94697493314743
"10",0.975596606731415
"11",0.968244194984436
"12",0.132226422429085
"13",0.0246812701225281
"14",0.0246812701225281
"15",0.975596606731415
"16",0.97041118144989
"17",0.94697493314743
"18",0.0246812701225281
"19",0.163034111261368
"20",0.975596606731415
"21",0.792242109775543
"22",0.163034111261368
"23",0.0246812701225281
"24",0.0246812701225281
"25",0.0246812701225281
"26",0.132226422429085
"27",0.0246812701225281
"28",0.0467452667653561
"29",0.0313366577029228
"30",0.0246812701225281
"31",0.961558103561401
"32",0.97041118144989
"33",0.956081569194794
"34",0.0246812701225281
"35",0.163034111261368
"36",0.0589904375374317
"37",0.0246812701225281
"38",0.0246812701225281
"39",0.0315101332962513
"40",0.975596606731415
