Time	B
11:59:00	112
12:00:00	111
12:01:00	103
12:02:00	87
12:03:00	70
12:04:00	28
12:05:00	26
12:06:00	54
12:07:00	0
12:08:00	0
12:09:00	0
12:10:00	31
12:11:00	159
12:12:00	152
12:13:00	122
12:14:00	117
12:15:00	131
12:16:00	164
12:17:00	116
12:18:00	103
12:19:00	41
12:20:00	0
12:21:00	4
12:22:00	0
12:23:00	6
12:24:00	0
12:25:00	39
12:26:00	31
12:27:00	44
12:28:00	15
12:29:00	49
12:30:00	58
12:31:00	9
12:32:00	33
12:33:00	38
12:34:00	21
12:35:00	16
12:36:00	0
12:37:00	0
12:38:00	0
12:39:00	0
12:40:00	0
12:41:00	0
12:42:00	91
12:43:00	116
12:44:00	86
12:45:00	25
12:46:00	0
12:47:00	14
12:48:00	0
12:49:00	10
12:50:00	0
12:51:00	63
12:52:00	99
12:53:00	0
12:54:00	5
12:55:00	13
12:56:00	0
12:57:00	0
12:58:00	0
12:59:00	0
13:00:00	102
13:01:00	27
13:02:00	0
13:03:00	0
13:04:00	0
13:05:00	0
13:06:00	0
13:07:00	0
13:08:00	0
13:09:00	0
13:10:00	0
13:11:00	0
13:12:00	0
13:13:00	0
13:14:00	0
13:15:00	0
13:16:00	0
13:17:00	0
13:18:00	0
13:19:00	0
13:20:00	0
13:21:00	0
13:22:00	0
13:23:00	0
13:24:00	0
13:25:00	0
13:26:00	0
13:27:00	0
13:28:00	0
13:29:00	0
13:30:00	10
13:31:00	0
13:32:00	0
13:33:00	0
13:34:00	0
13:35:00	0
13:36:00	0
13:37:00	0
13:38:00	0
13:39:00	0
13:40:00	0
13:41:00	0
13:42:00	0
13:43:00	0
13:44:00	0
13:45:00	0
13:46:00	0
13:47:00	0
13:48:00	0
13:49:00	110
13:50:00	71
13:51:00	17
13:52:00	0
13:53:00	0
13:54:00	0
13:55:00	0
13:56:00	0
13:57:00	0
13:58:00	0
13:59:00	0
14:00:00	0
